method,subject,protocol,score
CSP+LDA,2,cross-session,0.2777777777777778
MDM,2,cross-session,0.3368055555555556
EEGNet,2,cross-session,0.3506944444444444
CSP+LDA,3,cross-session,0.6979166666666666
MDM,3,cross-session,0.6701388888888888
EEGNet,3,cross-session,0.8680555555555556
CSP+LDA,4,cross-session,0.5763888888888888
MDM,4,cross-session,0.5451388888888888
EEGNet,4,cross-session,0.5277777777777778
CSP+LDA,5,cross-session,0.375
MDM,5,cross-session,0.3541666666666667
EEGNet,5,cross-session,0.4201388888888889
CSP+LDA,6,cross-session,0.4722222222222222
MDM,6,cross-session,0.4409722222222222
EEGNet,6,cross-session,0.4409722222222222
CSP+LDA,7,cross-session,0.7673611111111112
MDM,7,cross-session,0.6631944444444444
EEGNet,7,cross-session,0.7152777777777778
CSP+LDA,8,cross-session,0.7604166666666666
MDM,8,cross-session,0.7395833333333334
EEGNet,8,cross-session,0.7430555555555556
CSP+LDA,9,cross-session,0.6631944444444444
MDM,9,cross-session,0.6736111111111112
EEGNet,9,cross-session,0.8298611111111112
TS-LR,1,cross-session,0.8402777777777778
TS-LR,2,cross-session,0.3819444444444444
TS-LR,3,cross-session,0.8611111111111112
TS-LR,4,cross-session,0.5763888888888888
TS-LR,5,cross-session,0.4583333333333333
TS-LR,6,cross-session,0.4756944444444444
TS-LR,7,cross-session,0.7638888888888888
TS-LR,8,cross-session,0.7569444444444444
TS-LR,9,cross-session,0.8020833333333334
TS-LR-RPA,1,cross-session,0.8506944444444444
TS-LR-RPA,2,cross-session,0.4826388888888889
TS-LR-RPA,3,cross-session,0.8472222222222222
TS-LR-RPA,4,cross-session,0.625
TS-LR-RPA,5,cross-session,0.4548611111111111
TS-LR-RPA,6,cross-session,0.4861111111111111
TS-LR-RPA,7,cross-session,0.7708333333333334
TS-LR-RPA,8,cross-session,0.8263888888888888
TS-LR-RPA,9,cross-session,0.8263888888888888
