method,subject,protocol,score
TS-LR-RPA,2,LOSO,0.79
TS-LR-RPA,3,LOSO,0.88
TS-LR-RPA,4,LOSO,0.61
TS-LR-RPA,5,LOSO,0.84
TS-LR-RPA,6,LOSO,0.61
TS-LR-RPA,7,LOSO,0.61
TS-LR-RPA,8,LOSO,0.62
TS-LR-RPA,9,LOSO,0.76
TS-LR-RPA,10,LOSO,0.72
TS-LR-RPA,11,LOSO,0.54
TS-LR-RPA,12,LOSO,0.68
TS-LR-RPA,13,LOSO,0.62
TS-LR-RPA,14,LOSO,0.7
TS-LR-RPA,15,LOSO,0.5
TS-LR-RPA,16,LOSO,0.52
TS-LR-RPA,17,LOSO,0.71
TS-LR-RPA,18,LOSO,0.85
TS-LR-RPA,19,LOSO,0.79
TS-LR-RPA,20,LOSO,0.68
TS-LR-RPA,21,LOSO,0.85
TS-LR-RPA,22,LOSO,0.75
TS-LR-RPA,23,LOSO,0.83
TS-LR-RPA,24,LOSO,0.55
TS-LR-RPA,25,LOSO,0.5
TS-LR-RPA,26,LOSO,0.57
TS-LR-RPA,27,LOSO,0.56
TS-LR-RPA,28,LOSO,0.84
TS-LR-RPA,29,LOSO,0.67
TS-LR-RPA,30,LOSO,0.72
TS-LR-RPA,31,LOSO,0.67
TS-LR-RPA,32,LOSO,0.92
TS-LR-RPA,33,LOSO,0.82
TS-LR-RPA,34,LOSO,0.51
TS-LR-RPA,35,LOSO,0.53
TS-LR-RPA,36,LOSO,0.98
TS-LR-RPA,37,LOSO,0.91
TS-LR-RPA,38,LOSO,0.51
TS-LR-RPA,39,LOSO,0.81
TS-LR-RPA,40,LOSO,0.65
TS-LR-RPA,41,LOSO,0.53
TS-LR-RPA,42,LOSO,0.66
TS-LR-RPA,43,LOSO,0.78
TS-LR-RPA,44,LOSO,0.79
TS-LR-RPA,45,LOSO,0.82
TS-LR-RPA,46,LOSO,0.61
TS-LR-RPA,47,LOSO,0.65
TS-LR-RPA,48,LOSO,0.67
TS-LR-RPA,49,LOSO,0.65
TS-LR-RPA,50,LOSO,0.51
TS-LR-RPA,51,LOSO,0.66
TS-LR-RPA,52,LOSO,0.69
TS-LR-RPA,53,LOSO,0.62
TS-LR-RPA,54,LOSO,0.61
EEGNet,1,LOSO,0.87
EEGNet,2,LOSO,0.6
EEGNet,3,LOSO,0.81
EEGNet,4,LOSO,0.55
EEGNet,5,LOSO,0.84
EEGNet,6,LOSO,0.61
EEGNet,7,LOSO,0.49
EEGNet,8,LOSO,0.62
EEGNet,9,LOSO,0.84
EEGNet,10,LOSO,0.65
EEGNet,11,LOSO,0.54
