method,subject,n_channels,score
CSP+LDA,44,12,0.9
MDM,44,12,0.8999999999999998
TS-LR,44,12,0.9
EEGNet,44,12,0.85
CSP+LDA,44,8,0.9
MDM,44,8,0.8699999999999999
TS-LR,44,8,0.8699999999999999
EEGNet,44,8,0.85
CSP+LDA,44,4,0.8400000000000001
MDM,44,4,0.8400000000000001
TS-LR,44,4,0.8200000000000001
EEGNet,44,4,0.8699999999999999
CSP+LDA,45,62,0.9
MDM,45,62,0.5700000000000001
TS-LR,45,62,0.78
EEGNet,45,62,0.66
CSP+LDA,45,16,0.8700000000000001
MDM,45,16,0.58
TS-LR,45,16,0.8800000000000001
EEGNet,45,16,0.75
CSP+LDA,45,12,0.8600000000000001
MDM,45,12,0.58
TS-LR,45,12,0.86
EEGNet,45,12,0.71
CSP+LDA,45,8,0.8299999999999998
MDM,45,8,0.67
TS-LR,45,8,0.8300000000000001
EEGNet,45,8,0.74
CSP+LDA,45,4,0.76
MDM,45,4,0.6900000000000001
TS-LR,45,4,0.76
EEGNet,45,4,0.6699999999999999
CSP+LDA,46,62,0.55
MDM,46,62,0.62
TS-LR,46,62,0.67
EEGNet,46,62,0.5599999999999999
CSP+LDA,46,16,0.6200000000000001
MDM,46,16,0.62
TS-LR,46,16,0.6599999999999999
EEGNet,46,16,0.5900000000000001
CSP+LDA,46,12,0.5700000000000001
MDM,46,12,0.63
TS-LR,46,12,0.69
EEGNet,46,12,0.55
CSP+LDA,46,8,0.62
MDM,46,8,0.6300000000000001
TS-LR,46,8,0.65
EEGNet,46,8,0.5599999999999999
CSP+LDA,46,4,0.68
MDM,46,4,0.65
TS-LR,46,4,0.6
EEGNet,46,4,0.6199999999999999
CSP+LDA,47,62,0.61
MDM,47,62,0.5999999999999999
TS-LR,47,62,0.61
EEGNet,47,62,0.6
CSP+LDA,47,16,0.47000000000000003
MDM,47,16,0.57
TS-LR,47,16,0.6000000000000001
EEGNet,47,16,0.45
CSP+LDA,47,12,0.64
MDM,47,12,0.5900000000000001
TS-LR,47,12,0.63
EEGNet,47,12,0.47000000000000003
CSP+LDA,47,8,0.65
MDM,47,8,0.57
TS-LR,47,8,0.5800000000000001
EEGNet,47,8,0.53
CSP+LDA,47,4,0.62
MDM,47,4,0.5700000000000001
TS-LR,47,4,0.5900000000000001
EEGNet,47,4,0.56
CSP+LDA,48,62,0.6300000000000001
MDM,48,62,0.5399999999999999
TS-LR,48,62,0.75
EEGNet,48,62,0.62
CSP+LDA,48,16,0.6500000000000001
MDM,48,16,0.65
TS-LR,48,16,0.69
EEGNet,48,16,0.51
CSP+LDA,48,12,0.65
MDM,48,12,0.63
TS-LR,48,12,0.6600000000000001
EEGNet,48,12,0.56
CSP+LDA,48,8,0.58
MDM,48,8,0.5700000000000001
TS-LR,48,8,0.5900000000000001
EEGNet,48,8,0.55
CSP+LDA,48,4,0.55
MDM,48,4,0.5599999999999999
TS-LR,48,4,0.53
EEGNet,48,4,0.43000000000000005
CSP+LDA,49,62,0.7399999999999999
MDM,49,62,0.7100000000000001
TS-LR,49,62,0.74
EEGNet,49,62,0.51
CSP+LDA,49,16,0.7300000000000001
MDM,49,16,0.6900000000000001
TS-LR,49,16,0.75
EEGNet,49,16,0.57
CSP+LDA,49,12,0.77
MDM,49,12,0.67
TS-LR,49,12,0.7300000000000001
EEGNet,49,12,0.51
CSP+LDA,49,8,0.72
MDM,49,8,0.69
TS-LR,49,8,0.76
EEGNet,49,8,0.63
CSP+LDA,49,4,0.74
MDM,49,4,0.6599999999999999
TS-LR,49,4,0.6900000000000001
EEGNet,49,4,0.51
CSP+LDA,50,62,0.6
MDM,50,62,0.5999999999999999
TS-LR,50,62,0.73
EEGNet,50,62,0.5599999999999999
CSP+LDA,50,16,0.6
MDM,50,16,0.59
TS-LR,50,16,0.63
EEGNet,50,16,0.4600000000000001
CSP+LDA,50,12,0.61
MDM,50,12,0.59
TS-LR,50,12,0.61
EEGNet,50,12,0.51
CSP+LDA,50,8,0.6100000000000001
MDM,50,8,0.58
TS-LR,50,8,0.5999999999999999
EEGNet,50,8,0.5
CSP+LDA,50,4,0.5900000000000001
MDM,50,4,0.58
TS-LR,50,4,0.6100000000000001
EEGNet,50,4,0.45
CSP+LDA,51,62,0.58
MDM,51,62,0.5800000000000001
TS-LR,51,62,0.6700000000000002
EEGNet,51,62,0.55
CSP+LDA,51,16,0.6
MDM,51,16,0.5700000000000001
TS-LR,51,16,0.7000000000000001
EEGNet,51,16,0.51
CSP+LDA,51,12,0.57
MDM,51,12,0.6300000000000001
TS-LR,51,12,0.74
EEGNet,51,12,0.44000000000000006
CSP+LDA,51,8,0.65
MDM,51,8,0.62
TS-LR,51,8,0.66
EEGNet,51,8,0.5
CSP+LDA,51,4,0.58
MDM,51,4,0.59
TS-LR,51,4,0.63
EEGNet,51,4,0.49000000000000005
CSP+LDA,52,62,0.7
MDM,52,62,0.63
TS-LR,52,62,0.7
EEGNet,52,62,0.49000000000000005
CSP+LDA,52,16,0.79
MDM,52,16,0.7
TS-LR,52,16,0.6900000000000001
EEGNet,52,16,0.54
CSP+LDA,52,12,0.76
MDM,52,12,0.6799999999999999
TS-LR,52,12,0.7
EEGNet,52,12,0.52
CSP+LDA,52,8,0.6900000000000001
MDM,52,8,0.6900000000000002
TS-LR,52,8,0.6699999999999999
EEGNet,52,8,0.5700000000000001
CSP+LDA,52,4,0.55
MDM,52,4,0.61
TS-LR,52,4,0.55
EEGNet,52,4,0.51
CSP+LDA,53,62,0.51
MDM,53,62,0.53
TS-LR,53,62,0.5799999999999998
EEGNet,53,62,0.47000000000000003
CSP+LDA,53,16,0.5599999999999999
MDM,53,16,0.5700000000000001
TS-LR,53,16,0.6300000000000001
EEGNet,53,16,0.6300000000000001
CSP+LDA,53,12,0.58
MDM,53,12,0.5499999999999999
TS-LR,53,12,0.64
EEGNet,53,12,0.54
CSP+LDA,53,8,0.61
MDM,53,8,0.62
TS-LR,53,8,0.6799999999999999
EEGNet,53,8,0.58
CSP+LDA,53,4,0.5199999999999999
MDM,53,4,0.53
TS-LR,53,4,0.55
EEGNet,53,4,0.49000000000000005
CSP+LDA,54,62,0.54
MDM,54,62,0.61
TS-LR,54,62,0.62
EEGNet,54,62,0.47000000000000003
CSP+LDA,54,16,0.53
MDM,54,16,0.54
TS-LR,54,16,0.5800000000000001
EEGNet,54,16,0.48
CSP+LDA,54,12,0.51
MDM,54,12,0.52
TS-LR,54,12,0.5900000000000001
EEGNet,54,12,0.53
CSP+LDA,54,8,0.5700000000000001
MDM,54,8,0.47000000000000003
TS-LR,54,8,0.58
EEGNet,54,8,0.45
CSP+LDA,54,4,0.52
MDM,54,4,0.47000000000000003
TS-LR,54,4,0.49000000000000005
EEGNet,54,4,0.44000000000000006
