method,subject,n_channels,score
EEGNet,9,12,0.79
CSP+LDA,9,8,0.8400000000000001
MDM,9,8,0.8800000000000001
TS-LR,9,8,0.8300000000000001
EEGNet,9,8,0.8299999999999998
CSP+LDA,9,4,0.8800000000000001
MDM,9,4,0.86
TS-LR,9,4,0.85
EEGNet,9,4,0.8
CSP+LDA,10,62,0.6699999999999999
MDM,10,62,0.5700000000000001
TS-LR,10,62,0.6599999999999999
EEGNet,10,62,0.63
CSP+LDA,10,16,0.5700000000000001
MDM,10,16,0.58
TS-LR,10,16,0.61
EEGNet,10,16,0.5800000000000001
CSP+LDA,10,12,0.5800000000000001
MDM,10,12,0.56
TS-LR,10,12,0.61
EEGNet,10,12,0.5900000000000001
CSP+LDA,10,8,0.58
MDM,10,8,0.5900000000000001
TS-LR,10,8,0.65
EEGNet,10,8,0.6
CSP+LDA,10,4,0.56
MDM,10,4,0.5
TS-LR,10,4,0.5700000000000001
EEGNet,10,4,0.62
CSP+LDA,11,62,0.55
MDM,11,62,0.5700000000000001
TS-LR,11,62,0.51
EEGNet,11,62,0.45
CSP+LDA,11,16,0.49000000000000005
MDM,11,16,0.53
TS-LR,11,16,0.54
EEGNet,11,16,0.51
CSP+LDA,11,12,0.5
MDM,11,12,0.47000000000000003
TS-LR,11,12,0.54
EEGNet,11,12,0.45999999999999996
CSP+LDA,11,8,0.43
MDM,11,8,0.45999999999999996
TS-LR,11,8,0.42000000000000004
EEGNet,11,8,0.5
CSP+LDA,11,4,0.47000000000000003
MDM,11,4,0.44000000000000006
TS-LR,11,4,0.45999999999999996
EEGNet,11,4,0.53
CSP+LDA,12,62,0.75
MDM,12,62,0.6100000000000001
TS-LR,12,62,0.76
EEGNet,12,62,0.5700000000000001
CSP+LDA,12,16,0.66
MDM,12,16,0.64
TS-LR,12,16,0.77
EEGNet,12,16,0.64
CSP+LDA,12,12,0.65
MDM,12,12,0.65
TS-LR,12,12,0.75
EEGNet,12,12,0.62
CSP+LDA,12,8,0.65
MDM,12,8,0.63
TS-LR,12,8,0.71
EEGNet,12,8,0.64
CSP+LDA,12,4,0.68
MDM,12,4,0.62
TS-LR,12,4,0.7
EEGNet,12,4,0.62
CSP+LDA,13,62,0.6399999999999999
MDM,13,62,0.52
TS-LR,13,62,0.5900000000000001
EEGNet,13,62,0.55
CSP+LDA,13,16,0.6799999999999999
MDM,13,16,0.62
TS-LR,13,16,0.74
EEGNet,13,16,0.5
CSP+LDA,13,12,0.66
MDM,13,12,0.5900000000000001
TS-LR,13,12,0.7300000000000001
EEGNet,13,12,0.5199999999999999
CSP+LDA,13,8,0.62
MDM,13,8,0.5700000000000001
TS-LR,13,8,0.72
EEGNet,13,8,0.58
CSP+LDA,13,4,0.62
MDM,13,4,0.6100000000000001
TS-LR,13,4,0.6300000000000001
EEGNet,13,4,0.49000000000000005
CSP+LDA,14,62,0.58
MDM,14,62,0.55
TS-LR,14,62,0.6799999999999999
EEGNet,14,62,0.52
CSP+LDA,14,16,0.7000000000000001
MDM,14,16,0.5700000000000001
TS-LR,14,16,0.6900000000000001
EEGNet,14,16,0.48999999999999994
CSP+LDA,14,12,0.65
MDM,14,12,0.5700000000000001
TS-LR,14,12,0.7
EEGNet,14,12,0.53
CSP+LDA,14,8,0.66
MDM,14,8,0.6000000000000001
TS-LR,14,8,0.6700000000000002
EEGNet,14,8,0.5599999999999999
CSP+LDA,14,4,0.56
MDM,14,4,0.51
TS-LR,14,4,0.5800000000000001
EEGNet,14,4,0.51
CSP+LDA,15,62,0.59
MDM,15,62,0.6
TS-LR,15,62,0.74
EEGNet,15,62,0.76
CSP+LDA,15,16,0.58
MDM,15,16,0.5200000000000001
TS-LR,15,16,0.6599999999999999
EEGNet,15,16,0.6
CSP+LDA,15,12,0.61
MDM,15,12,0.53
TS-LR,15,12,0.67
EEGNet,15,12,0.7100000000000002
CSP+LDA,15,8,0.64
MDM,15,8,0.5599999999999999
TS-LR,15,8,0.67
EEGNet,15,8,0.5800000000000001
CSP+LDA,15,4,0.57
MDM,15,4,0.55
TS-LR,15,4,0.55
EEGNet,15,4,0.5399999999999999
CSP+LDA,16,62,0.62
MDM,16,62,0.65
TS-LR,16,62,0.67
EEGNet,16,62,0.5800000000000001
CSP+LDA,16,16,0.6
MDM,16,16,0.6699999999999999
TS-LR,16,16,0.6599999999999999
EEGNet,16,16,0.58
CSP+LDA,16,12,0.65
MDM,16,12,0.6599999999999999
TS-LR,16,12,0.61
EEGNet,16,12,0.61
CSP+LDA,16,8,0.6199999999999999
MDM,16,8,0.6899999999999998
TS-LR,16,8,0.64
EEGNet,16,8,0.53
CSP+LDA,16,4,0.63
MDM,16,4,0.6399999999999999
TS-LR,16,4,0.6300000000000001
EEGNet,16,4,0.5999999999999999
CSP+LDA,17,62,0.7
MDM,17,62,0.56
TS-LR,17,62,0.74
EEGNet,17,62,0.6
CSP+LDA,17,16,0.8
MDM,17,16,0.68
TS-LR,17,16,0.8300000000000001
EEGNet,17,16,0.5
CSP+LDA,17,12,0.79
MDM,17,12,0.67
TS-LR,17,12,0.8300000000000001
EEGNet,17,12,0.53
CSP+LDA,17,8,0.79
MDM,17,8,0.7
TS-LR,17,8,0.74
EEGNet,17,8,0.47000000000000003
CSP+LDA,17,4,0.68
MDM,17,4,0.5900000000000001
TS-LR,17,4,0.6100000000000001
EEGNet,17,4,0.48
CSP+LDA,18,62,0.9399999999999998
MDM,18,62,0.85
TS-LR,18,62,0.9400000000000001
EEGNet,18,62,0.71
CSP+LDA,18,16,0.9600000000000002
MDM,18,16,0.9399999999999998
TS-LR,18,16,0.9800000000000001
EEGNet,18,16,0.93
CSP+LDA,18,12,0.93
MDM,18,12,0.95
TS-LR,18,12,0.95
EEGNet,18,12,0.8799999999999999
CSP+LDA,18,8,0.9099999999999999
MDM,18,8,0.8800000000000001
TS-LR,18,8,0.93
EEGNet,18,8,0.86
CSP+LDA,18,4,0.9
MDM,18,4,0.89
TS-LR,18,4,0.89
EEGNet,18,4,0.86
CSP+LDA,19,62,0.85
MDM,19,62,0.6
TS-LR,19,62,0.7200000000000001
EEGNet,19,62,0.71
CSP+LDA,19,16,0.82
MDM,19,16,0.72
TS-LR,19,16,0.76
EEGNet,19,16,0.72
CSP+LDA,19,12,0.8
MDM,19,12,0.7300000000000001
