method,protocol,mean,std
CSP+LDA,LOSO,0.3810763888888889,0.12185389444772864
CSP+LDA,within-CV,0.7405474894131882,0.027823209659605067
CSP+MLP,LOSO,0.3715277777777778,0.06113478076964936
CSP+MLP,within-CV,0.7518300060496068,0.041671161541898045
EEGNet,LOSO,0.47135416666666663,0.13726993355400818
EEGNet,within-CV,0.7351784633998789,0.10452371979707581
LSTM,LOSO,0.2751736111111111,0.04644435237785489
LSTM,within-CV,0.3141863278886872,0.04422811479990978
